acc,f1_score,loss,precision,recall,val_acc,val_f1_score,val_loss,val_precision,val_recall,epoch,model
0.6933877468109131,0.7031612396240234,1.0177613496780396,0.8448467254638672,0.5557518601417542,0.8648979663848877,0.8691053986549377,0.5195890665054321,0.9518980979919434,0.7471428513526917,1,MobileNetV2_head_b_256_d
0.7652057409286499,0.7738028168678284,0.7777341604232788,0.8758648633956909,0.6554381251335144,0.882244884967804,0.8859530687332153,0.40624284744262695,0.9397590160369873,0.8118367195129395,2,MobileNetV2_head_b_256_d
0.8032771944999695,0.8111183643341064,0.6379514932632446,0.8925760388374329,0.7184540033340454,0.8926530480384827,0.8962889313697815,0.34988337755203247,0.9386084675788879,0.8424489498138428,3,MobileNetV2_head_b_256_d
0.8309018611907959,0.8380832076072693,0.547275722026825,0.9053390026092529,0.7576523423194885,0.900204062461853,0.9036133289337158,0.31590700149536133,0.9407176375389099,0.8614285588264465,4,MobileNetV2_head_b_256_d
0.8479883074760437,0.8549166321754456,0.4872269928455353,0.911255955696106,0.7878049612045288,0.9079591631889343,0.9110854268074036,0.29179972410202026,0.9433296322822571,0.8730612397193909,5,MobileNetV2_head_b_256_d
0.8668413162231445,0.8733276724815369,0.4289700984954834,0.9229568839073181,0.8107392191886902,0.9118367433547974,0.9148966073989868,0.27096956968307495,0.9449180364608765,0.882244884967804,6,MobileNetV2_head_b_256_d
0.878384530544281,0.8840351700782776,0.38930168747901917,0.9276924133300781,0.8311454653739929,0.9142857193946838,0.9172587990760803,0.2577204704284668,0.9438177943229675,0.8879591822624207,7,MobileNetV2_head_b_256_d
0.8899278044700623,0.8951248526573181,0.35719335079193115,0.9337745904922485,0.846435010433197,0.9191836714744568,0.9222036600112915,0.24625496566295624,0.9462202787399292,0.8940816521644592,8,MobileNetV2_head_b_256_d
0.9000091552734375,0.9045972228050232,0.32802754640579224,0.9391119480133057,0.860597550868988,0.9206122159957886,0.9235920310020447,0.2362978756427765,0.948175311088562,0.8961224555969238,9,MobileNetV2_head_b_256_d
0.9062833189964294,0.9109267592430115,0.3046853244304657,0.9413275122642517,0.870770275592804,0.9228571653366089,0.9254652261734009,0.22643092274665833,0.9496774077415466,0.9012244939804077,10,MobileNetV2_head_b_256_d
0.9111260175704956,0.915460467338562,0.2835456430912018,0.9442155361175537,0.8794810175895691,0.9261224269866943,0.9284530282020569,0.2188093215227127,0.9509636163711548,0.9063265323638916,11,MobileNetV2_head_b_256_d
0.9164559841156006,0.9203604459762573,0.26551032066345215,0.9465480446815491,0.8877653479576111,0.9281632900238037,0.9305626749992371,0.21291451156139374,0.9518226385116577,0.9112244844436646,12,MobileNetV2_head_b_256_d
0.9236743450164795,0.9275791645050049,0.25026676058769226,0.9499093294143677,0.893521785736084,0.9293877482414246,0.9315909147262573,0.20791392028331757,0.9502868056297302,0.9128571152687073,13,MobileNetV2_head_b_256_d
0.92775559425354,0.9316307902336121,0.23649862408638,0.9521678686141968,0.9009532928466797,0.9326530694961548,0.9348763823509216,0.20110301673412323,0.9502118825912476,0.9153061509132385,14,MobileNetV2_head_b_256_d
0.9327201247215271,0.9362854361534119,0.2211190015077591,0.9563976526260376,0.9085676074028015,0.9346938729286194,0.9371060729026794,0.19572363793849945,0.951715350151062,0.9171428680419922,15,MobileNetV2_head_b_256_d
0.9344561696052551,0.9379781484603882,0.21111927926540375,0.9563300609588623,0.9117655754089355,0.9351020455360413,0.9373353719711304,0.19319505989551544,0.9521186351776123,0.9171428680419922,16,MobileNetV2_head_b_256_d
0.9403953552246094,0.9433267116546631,0.19769449532032013,0.9607255458831787,0.9178875088691711,0.9355102181434631,0.9377862215042114,0.18849046528339386,0.9528441429138184,0.9195918440818787,17,MobileNetV2_head_b_256_d
0.9425578117370605,0.9460120797157288,0.18926404416561127,0.9603665471076965,0.9225170016288757,0.9385714530944824,0.9408485889434814,0.18294426798820496,0.9547759890556335,0.9220408201217651,18,MobileNetV2_head_b_256_d
0.9449639320373535,0.9481346607208252,0.18111854791641235,0.9627728462219238,0.9255322217941284,0.9393877387046814,0.9414640665054321,0.17987178266048431,0.9546700119972229,0.9240816235542297,19,MobileNetV2_head_b_256_d
0.9469436407089233,0.9502369165420532,0.16930349171161652,0.964491069316864,0.9298571348190308,0.9383673667907715,0.9406729936599731,0.17807064950466156,0.9538558721542358,0.9238775372505188,20,MobileNetV2_head_b_256_d
0.5154638886451721,0.5223591327667236,2.064037799835205,0.8092966675758362,0.368669331073761,0.8573469519615173,0.8586449027061462,0.8345754742622375,0.9872734546661377,0.5224489569664001,1,ResNet50_head_b_256_d
0.7640483379364014,0.7711009979248047,0.7919648289680481,0.8892684578895569,0.6501385569572449,0.9144898056983948,0.9168004989624023,0.3768298029899597,0.9687800407409668,0.8232653141021729,2,ResNet50_head_b_256_d
0.8454908132553101,0.8522647023200989,0.5183686017990112,0.9192408323287964,0.7685864567756653,0.9295918345451355,0.9319236278533936,0.253108412027359,0.9598411321640015,0.8877550959587097,3,ResNet50_head_b_256_d
0.8813693523406982,0.8870556354522705,0.39462053775787354,0.9324894547462463,0.8279170393943787,0.9391836524009705,0.9410815834999084,0.20124420523643494,0.9606197476387024,0.9110203981399536,4,ResNet50_head_b_256_d
0.9057046175003052,0.910110354423523,0.31485623121261597,0.9437817931175232,0.865135669708252,0.9459183812141418,0.9476890563964844,0.1746671050786972,0.9634042382240295,0.9240816235542297,5,ResNet50_head_b_256_d
